x_value, y_value, bmaj_value, bmin_value,pa_value, longitude, latidude, flux_value, flux_error, peak_value, peak_error
2.7395657110227662 , -0.7662931971802139 , 0.05983993599221359 , 0.047160430486051674 , 162.99213451499853 , 0.0014844508248731292 , 0.002112402997373074 , 0.0003437513778972293 , 4.1374690892854944e-05 , 0.0002401056617624898 , 1.8562442391007893e-05
2.739528429175222 , -0.7662925567110934 , 0.08649315929975905 , 0.06236407617556833 , 64.87019064216497 , 0.002161553287510769 , 0.0015913017939855833 , 0.0021244460670435733 , 0.00016057669480253232 , 0.0007763477298927799 , 4.445694258619536e-05
2.739520726690569 , -0.7662931915584577 , 0.0908847330973645 , 0.06442254594429916 , 110.9628077209734 , 0.00904315114892503 , 0.0062414214696086875 , 0.00042213456535406966 , 0.00012279287520835703 , 0.00014211795097492666 , 3.186024041770719e-05
2.7395374557676493 , -0.7662701182477294 , 0.08336882793596807 , 0.05753867388675037 , 12.864417153856854 , 0.0029035545633534217 , 0.004874610872745098 , 0.0004905011663661351 , 8.364898264075595e-05 , 0.0002015595388746554 , 2.533114621228428e-05
2.739531248915896 , -0.7662701302301386 , 0.06458472196384812 , 0.05727092311178543 , 48.99275338626723 , 0.002005162803572532 , 0.0019499281949015039 , 0.00030319734543781144 , 3.305839110973652e-05 , 0.000161580239348637 , 1.224629184537216e-05
2.739532994048026 , -0.7662689075555963 , 0.05173250740470141 , 0.049925468042746654 , 149.02875158737626 , 0.0017432523576128272 , 0.0017984378686251975 , 0.00034524331789369587 , 4.4989388566660224e-05 , 0.0002634914058497208 , 2.159917750054273e-05
2.7395256254429508 , -0.7662704061040428 , 0.18170037222460192 , 0.11060237484381745 , 121.3237213594634 , 0.011353296123172495 , 0.00886237367407993 , 0.0010858357551494801 , 0.00018518305916137483 , 0.00010650517569616471 , 1.660206923041951e-05
2.739525583968799 , -0.7662689219032733 , 0.14164652825128798 , 0.07609522171511665 , 120.06738880302845 , 0.017036958212260443 , 0.012006416411034072 , 0.0005852326803021016 , 0.00019685573059348514 , 0.00010702669208075065 , 3.0723412659783484e-05
2.7395290137386517 , -0.7662674045887113 , 0.27375110207856374 , 0.2276270353797911 , 26.343652939626722 , 0.02686409660623873 , 0.030222148968964486 , 0.0017360885538431298 , 0.00047827053439967245 , 5.4918542279325026e-05 , 1.4672318855360409e-05
2.739530376669216 , -0.7662646126453294 , 0.08170796529906044 , 0.044639698206202005 , 5.4447247370356635 , 0.0013920905263444386 , 0.0037820612768936328 , 0.00038444986674427605 , 5.014517210916593e-05 , 0.0002077690833887148 , 1.834660133205353e-05
2.739531294605592 , -0.766258881917419 , 0.06441548657742474 , 0.04702661189539701 , 119.4596233593853 , 0.004020572128777486 , 0.003069718906770643 , 0.00029162384198211367 , 6.333397838159231e-05 , 0.00018976490538634566 , 2.6930828263988616e-05
2.7395678773581635 , -0.7662546752205859 , 0.08761058312027947 , 0.03811243843669834 , 138.29395914502626 , 0.007556413484080162 , 0.008379393108846573 , 0.00022492751482753012 , 7.55147394117446e-05 , 0.00013278411518706843 , 2.8645460387978813e-05
2.7395762886202273 , -0.7662611810593026 , 0.0764188678734977 , 0.04576805686228025 , 100.75390097737451 , 0.008532688494636632 , 0.0038646129311039785 , 0.00020064342935647574 , 6.600808495580978e-05 , 0.00011308075584135251 , 2.504576742931332e-05
2.7395751224291627 , -0.7662604770391875 , 0.1623641911752157 , 0.07614012131385987 , 148.40682727978435 , 0.009102865205720996 , 0.01295997200413694 , 0.0008073851962676764 , 0.00017905553223101389 , 0.00012873712675732664 , 2.4787137943162994e-05
2.739532641702766 , -0.7662665361964964 , 0.07037883467549517 , 0.05796208723373543 , 32.34331300803573 , 0.0021810839159499243 , 0.002492380832827222 , 0.0006593813315882642 , 7.799771603887879e-05 , 0.000318623209612634 , 2.6824264351493704e-05
