converged_deconvolved, bmaj, bmaj_error, bmin, bmin_error
deconvolved, 0.1651092324292561 , 0.02806971115401008 , 0.03265628809889328 , 0.013511090435201541
not deconvolved, 0.05381449661096959 , 0.002138939413112296 , 0.04358097641419696 , 0.0013940217454348884
deconvolved, 0.0656261627616837 , 0.005156712484919168 , 0.02610201044475522 , 0.004823157313799113
deconvolved, 0.04029294830774353 , 0.011225643688256823 , 0.011218898598647562 , 0.01288237530168743
not deconvolved, 0.05897096069307466 , 0.002472268204118393 , 0.04558066866119353 , 0.0014915634083979487
deconvolved, 0.035383966317429856 , 0.005942791935388585 , 0.0147049386208915 , 0.006873642904747795
deconvolved, 0.06559911790846572 , 0.003394430452007824 , 0.03876527934503951 , 0.0030637270484618617
deconvolved, 0.04930397212710654 , 0.011572094243957914 , 0.02686539862624567 , 0.017274839745137285
deconvolved, 0.0637620345587099 , 0.003460429621184681 , 0.04092917936995233 , 0.0033650254417319364
deconvolved, 0.05659467481889876 , 0.010698866194724009 , 0.015049421937601885 , 0.008934739225038367
deconvolved, 0.0229041466315214 , 0.007814356323546164 , 0.0073890054428418775 , 0.014187754699220215
deconvolved, 0.05900588412412322 , 0.012306959962672608 , 0.00567975629400445 , 0.01845851586265999
deconvolved, 0.12762342764324078 , 0.013781147732659607 , 0.0511174819465456 , 0.006809250586108699
deconvolved, 0.10278163807927414 , 0.011137175965924923 , 0.061081264610146 , 0.007418681681589719
deconvolved, 0.04228732495249554 , 0.007791609320880494 , 0.018726667151186316 , 0.01264497033412083
deconvolved, 0.08409917102438239 , 0.008380212063929193 , 0.049503494357840176 , 0.006143751117312905
deconvolved, 0.05436096038442739 , 0.002191963646788621 , 0.03533756690769748 , 0.0020341301117895033
deconvolved, 0.050410872359800775 , 0.01006855792331162 , 0.027878118831222952 , 0.010595218393755164
deconvolved, 0.05176990139962469 , 0.015445913481776347 , 0.033348200921663934 , 0.015252701428562897
deconvolved, 0.03973432427752486 , 0.00791803148283829 , 0.016323117931651733 , 0.0073446297234238365
deconvolved, 0.055851313383114866 , 0.007325791756837743 , 0.008944627795893615 , 0.009284327436986936
deconvolved, 0.056535752386708375 , 0.008037602604004615 , 0.03667213294636299 , 0.007309595980804308
deconvolved, 0.02521971598874268 , 0.007289767632306987 , 0.0220379432672327 , 0.010777499117987107
deconvolved, 0.05888097912717616 , 0.010974069137014736 , 0.030750513419816206 , 0.01064752927080096
deconvolved, 0.027333963007595063 , 0.008967196227782016 , 0.021589862864121685 , 0.01127707999235835
deconvolved, 0.05248260724589363 , 0.005526071805209851 , 0.034689430005364494 , 0.005256995635254169
deconvolved, 0.070945387136852 , 0.007150152064569162 , 0.04218010953010191 , 0.005748673984993395
deconvolved, 0.03778166947523148 , 0.003953283219609562 , 0.021672688528832588 , 0.0048339417043299394
deconvolved, 0.04562830827170064 , 0.0063191985632168254 , 0.016091646184025945 , 0.010690940379916879
