deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.7395753130085048 , -0.7662606463994321 , 124.35435982091316 , 0.0022756943776009054 , 0.0020582035757323648 , 0.0001391758640012848 , 1.424071210445257e-05 , 0.00018370044530250214 , 1.3043906344119517e-05
not deconvolved , 2.7395760591249387 , -0.766261119836073 , 177.86901812017703 , 0.0005925405176676785 , 0.0009079626420649161 , 4.405648885179241e-05 , 2.7983671923530664e-06 , 4.67676233504312e-05 , 1.6675589549171665e-06
deconvolved , 2.7395678748186696 , -0.7662547470952077 , 168.03938237422955 , 0.0008354744327988699 , 0.001625581801298724 , 0.00011536911852885108 , 6.727906930204404e-06 , 0.00016767575811479506 , 6.695250679261065e-06
not deconvolved , 2.7395329946870115 , -0.7662689529020135 , 176.2382790921825 , 0.0007053697039295009 , 0.0013412761893703835 , 5.751668127338095e-05 , 3.790214876856415e-06 , 4.507497876271749e-05 , 1.8279577426111022e-06
deconvolved , 2.7395256749288013 , -0.7662705145323855 , 152.6023256520253 , 0.0007380635087036496 , 0.0010061902240225103 , 7.654890235448571e-05 , 2.9446591720557514e-06 , 7.494276654348388e-05 , 2.052969913643174e-06
deconvolved , 2.7395316591807646 , -0.7662925397904277 , 68.8113783983525 , 0.0026297573360249955 , 0.0022051705616721465 , 5.7722336383213324e-05 , 7.6068601519805465e-06 , 0.00010849266447115413 , 9.51042759034164e-06
deconvolved , 2.7395626246130997 , -0.7662817663865957 , 118.90585281472495 , 0.0033600528925941432 , 0.002555344069950089 , 6.807679727907679e-05 , 1.0397166128128244e-05 , 0.0005057149296693436 , 5.0888977840396726e-05
deconvolved , 2.739529297209274 , -0.7662672511808902 , 11.111246532797454 , 0.0022484292926735665 , 0.005278480331168529 , 0.00028327176823639754 , 2.7841554766831872e-05 , 0.00010810234524094368 , 8.564372193136255e-06
deconvolved , 2.739528620876474 , -0.7662672960957513 , 2.5801447231982 , 0.0023398065711403866 , 0.0041291510216859 , 0.00017038386771690928 , 1.649055774724768e-05 , 6.756730253536864e-05 , 5.225898039241364e-06
deconvolved , 2.7395656759483265 , -0.7662931967882625 , 124.43136068295532 , 0.0002725062716978324 , 0.00029991406380339153 , 0.00015323074668729928 , 3.231240209302439e-06 , 0.0016225696863408272 , 2.0558586267659486e-05
deconvolved , 2.739528450897661 , -0.7662925675489796 , 72.09051920732259 , 0.0011884425601587484 , 0.0009460133086345792 , 0.0018945180609729422 , 8.997608808472648e-05 , 0.0018178055953223258 , 6.16901528445786e-05
deconvolved , 2.7395272242513506 , -0.7662925578846091 , 173.1682848232845 , 0.0012698891925191113 , 0.0024939808888247554 , 1.905348664139686e-05 , 2.132016833401407e-06 , 9.748596609358484e-05 , 6.904149475066206e-06
deconvolved , 2.739520861425415 , -0.7662932348029174 , 13.601212138154125 , 0.0025708790310854336 , 0.004539253321256839 , 0.00010982487843219651 , 2.0848218350210113e-05 , 0.0002313651332541526 , 2.8878371419438032e-05
not deconvolved , 2.73957507516105 , -0.7662603601741156 , 176.4641983756025 , 0.0037577910173193846 , 0.0067066464897890905 , 7.29722427400297e-05 , 2.663460121508342e-05 , 6.247389030303184e-05 , 1.3675771068167949e-05
deconvolved , 2.739531279886624 , -0.7662588907736066 , 44.16113569777346 , 0.001264056615132372 , 0.0014339762603253522 , 8.395543784978746e-05 , 7.140373491565873e-06 , 0.0003296284068529315 , 1.7571932186192236e-05
not deconvolved , 2.739530365560913 , -0.7662646376590859 , 2.5910142288349225 , 0.0007631973484846656 , 0.0022329260611315092 , 4.451669091973583e-05 , 3.9069336802885265e-06 , 3.362728968960701e-05 , 1.794415079382636e-06
not deconvolved , 2.7395326967541687 , -0.7662665845759334 , 160.15883885453692 , 0.004563541332583748 , 0.011356995004644885 , 4.1731871299186945e-05 , 1.274339328997669e-05 , 2.5827249562170224e-05 , 4.884065927879969e-06
not deconvolved , 2.7395374371062515 , -0.7662689338450864 , 14.343524164443451 , 0.001566437884770799 , 0.0027880132072519654 , 1.3365243831288747e-05 , 2.7029719915522485e-06 , 1.6456659124198583e-05 , 1.748797888601879e-06
deconvolved , 2.7395374455866035 , -0.7662701722933806 , 178.27700545192212 , 0.0007192581570345132 , 0.0010087299108246684 , 0.00010752966725034385 , 6.53255535595256e-06 , 0.0006876077490470515 , 2.5370453825303383e-05
deconvolved , 2.7395312045990448 , -0.7662702109211104 , 78.50385260858208 , 0.0026583937105190665 , 0.0026546325895847093 , 4.1477724355879344e-05 , 6.799846511513803e-06 , 0.00010522168156079683 , 1.1084296823614767e-05
not deconvolved , 2.7395259455495093 , -0.7662683079387294 , 7.4743426701773865 , 0.0010648893724337393 , 0.0026851182206894275 , 1.7800932603249437e-05 , 3.397896171716953e-06 , 2.512602322750686e-05 , 2.3328247325004947e-06
not deconvolved , 2.739531486774014 , -0.7662672189422906 , 145.99110093846613 , 0.003196940677385832 , 0.0033970745582626674 , 9.719048114229777e-06 , 2.9191886845225473e-06 , 1.1121552694296082e-05 , 1.8397550043023622e-06
not deconvolved , 2.739521019798606 , -0.7662690724232174 , 45.680970116985335 , 0.0010994384651131027 , 0.0010873688275911154 , 2.2173724305680248e-05 , 2.0161572994901658e-06 , 2.401156879702424e-05 , 1.2134270754893129e-06
