x_value, y_value, bmaj_value, bmin_value,pa_value, longitude, latidude, flux_value, flux_error
2.7395657109892864 , -0.7662931971016911 , 0.05975730792545979 , 0.047165157433176896 , 162.99890222133868 , 0.001483260909360113 , 0.0021066288067973704 , 0.00034346980088760954 , 4.131522348787901e-05
2.7395284287299435 , -0.766292556821811 , 0.08817531161649243 , 0.0629010671083527 , 64.77624064915278 , 0.002256851164807711 , 0.0016519719884039588 , 0.002161000669090673 , 0.00016637254806722992
2.7395207619650708 , -0.7662931980899542 , 0.07747674442027581 , 0.06077321778883248 , 110.94711607790546 , 0.0074931337043668035 , 0.005655164490400056 , 0.00035371507363687643 , 0.00010555681237401889
2.73953745556531 , -0.7662701209674098 , 0.08668381707055711 , 0.05707092877060127 , 12.453572595835475 , 0.0028915153312487414 , 0.005170425768322643 , 0.0004994490894472365 , 8.539204224297808e-05
2.7395312461109316 , -0.7662701284766488 , 0.06576767073798172 , 0.05715810349809867 , 49.42543061088417 , 0.002362090148914091 , 0.0022790262396750805 , 0.00030649786574925617 , 3.861235355350725e-05
2.7395329921146905 , -0.7662689077490366 , 0.05212352529431479 , 0.05039668061221861 , 130.5503985339796 , 0.002032552224976324 , 0.002012995510792732 , 0.0003488372412929699 , 5.122518644805134e-05
2.7395256320963983 , -0.766270405467238 , 0.1693948616199518 , 0.1102625137483258 , 126.23659529304427 , 0.010317559513001149 , 0.008940610518828856 , 0.0010187074262551163 , 0.00017511873431011005
2.739525583915 , -0.7662689220016178 , 0.14164108439918255 , 0.07601928530750689 , 120.05437309051352 , 0.01703849402067043 , 0.011998543343275972 , 0.0005847886469838038 , 0.00019671066185452443
2.739528818357445 , -0.7662672327513798 , 0.3501634308589406 , 0.2868572285346234 , 144.19166148700714 , 0.028155020090652395 , 0.030030771431406835 , 0.0025491850048727865 , 0.0005560803754286885
2.7395303767965284 , -0.7662646123951697 , 0.08156548441441062 , 0.04461589959304523 , 5.462452142201074 , 0.0013609547388264704 , 0.0036915853917925587 , 0.00038395105788430374 , 4.9003979886357404e-05
2.73953129570548 , -0.7662588822563661 , 0.06448384871382769 , 0.04707688141196133 , 118.41492501783146 , 0.003964558982618301 , 0.0029763201098159946 , 0.00029199579415784704 , 6.20480211105419e-05
2.739567877984811 , -0.7662546752049714 , 0.08629117211250603 , 0.03782753538744286 , 138.30413919706822 , 0.007418001931945433 , 0.008227558539140926 , 0.0002216968476471169 , 7.461012287783623e-05
2.7395763055678337 , -0.7662611854334642 , 0.08012846994812342 , 0.045547276132794044 , 101.36224981941625 , 0.009042907719131372 , 0.003883527123152593 , 0.00021491214202254487 , 7.001418888096666e-05
2.739575123121899 , -0.7662604819694265 , 0.16260840569203075 , 0.0767959160348361 , 147.60879928882957 , 0.009539492006359567 , 0.013266785490773507 , 0.0008116831124031364 , 0.0001853199053577936
2.739532643241363 , -0.7662665412732558 , 0.080371965142109 , 0.06013380700824071 , 38.70200593033925 , 0.0026532549368862668 , 0.0029143648789070947 , 0.0007321954277639574 , 8.879716454362694e-05
