deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.7395753130085048 , -0.7662606463994321 , 124.35435982091316 , 0.0022756943776009054 , 0.0020582035757323648 , 0.0001391758640012848 , 1.424071210445257e-05 , 0.00018370044530250214 , 1.3043906344119517e-05
not deconvolved , 2.7395760591249387 , -0.766261119836073 , 177.86901812017703 , 0.0005925405176676785 , 0.0009079626420649161 , 4.405648885179241e-05 , 2.7983671923530664e-06 , 4.67676233504312e-05 , 1.6675589549171665e-06
deconvolved , 2.7395678748186696 , -0.7662547470952077 , 168.03938237422955 , 0.0008354744327988699 , 0.001625581801298724 , 0.00011536911852885108 , 6.727906930204404e-06 , 0.00016767575811479506 , 6.695250679261065e-06
not deconvolved , 2.7395329946870115 , -0.7662689529020135 , 176.2382790921825 , 0.0007053697039295009 , 0.0013412761893703835 , 5.751668127338095e-05 , 3.790214876856415e-06 , 4.507497876271749e-05 , 1.8279577426111022e-06
deconvolved , 2.739525678585828 , -0.7662705062534118 , 165.7515001680489 , 0.001998910545539845 , 0.002503419999611329 , 8.546722479249774e-05 , 7.861336244272288e-06 , 6.0983582524604795e-05 , 4.143201358562377e-06
deconvolved , 2.7395316591807646 , -0.7662925397904277 , 68.8113783983525 , 0.0026297573360249955 , 0.0022051705616721465 , 5.7722336383213324e-05 , 7.6068601519805465e-06 , 0.00010849266447115413 , 9.51042759034164e-06
deconvolved , 2.7395626246130997 , -0.7662817663865957 , 118.90585281472495 , 0.0033600528925941432 , 0.002555344069950089 , 6.807679727907679e-05 , 1.0397166128128244e-05 , 0.0005057149296693436 , 5.0888977840396726e-05
deconvolved , 2.739529297209274 , -0.7662672511808902 , 11.111246532797454 , 0.0022484292926735665 , 0.005278480331168529 , 0.00028327176823639754 , 2.7841554766831872e-05 , 0.00010810234524094368 , 8.564372193136255e-06
deconvolved , 2.739528620876474 , -0.7662672960957513 , 2.5801447231982 , 0.0023398065711403866 , 0.0041291510216859 , 0.00017038386771690928 , 1.649055774724768e-05 , 6.756730253536864e-05 , 5.225898039241364e-06
deconvolved , 2.7395656796841754 , -0.7662931976471549 , 119.74824146013249 , 0.0009335688874952814 , 0.000997174971622138 , 0.00015268856680712603 , 1.0900866579678698e-05 , 0.0020035669015414028 , 8.584564623221108e-05
deconvolved , 2.739528450909596 , -0.7662925675351866 , 71.8557105670726 , 0.0009797509023680095 , 0.0007812341616566359 , 0.0018972949256357903 , 7.417578913550567e-05 , 0.0018099147330751198 , 5.0596131623457245e-05
deconvolved , 2.739520861425415 , -0.7662932348029174 , 13.601212138154125 , 0.0025708790310854336 , 0.004539253321256839 , 0.00010982487843219651 , 2.0848218350210113e-05 , 0.0002313651332541526 , 2.8878371419438032e-05
not deconvolved , 2.73957507516105 , -0.7662603601741156 , 176.4641983756025 , 0.0037577910173193846 , 0.0067066464897890905 , 7.29722427400297e-05 , 2.663460121508342e-05 , 6.247389030303184e-05 , 1.3675771068167949e-05
deconvolved , 2.739531279886624 , -0.7662588907736066 , 44.16113569777346 , 0.001264056615132372 , 0.0014339762603253522 , 8.395543784978746e-05 , 7.140373491565873e-06 , 0.0003296284068529315 , 1.7571932186192236e-05
deconvolved , 2.7395374455866035 , -0.7662701722933806 , 178.27700545192212 , 0.0007192581570345132 , 0.0010087299108246684 , 0.00010752966725034385 , 6.53255535595256e-06 , 0.0006876077490470515 , 2.5370453825303383e-05
not deconvolved , 2.739499004846647 , -0.7662823776887723 , 15.45577126337461 , 0.001571223613417407 , 0.0032164209861872887 , 5.137156538241462e-05 , 8.285331751476614e-06 , 4.556570437734615e-05 , 4.281866525329542e-06
not deconvolved , 2.7395272385196656 , -0.7662925252196313 , 14.611871506369683 , 0.0053737450654834425 , 0.015157536646126398 , 2.640032677000111e-05 , 1.0046999563973028e-05 , 1.3329196155158941e-05 , 3.4325149257365667e-06
not deconvolved , 2.739530365560913 , -0.7662646376590859 , 2.5910142288349225 , 0.0007631973484846656 , 0.0022329260611315092 , 4.451669091973583e-05 , 3.9069336802885265e-06 , 3.362728968960701e-05 , 1.794415079382636e-06
not deconvolved , 2.7395326967541687 , -0.7662665845759334 , 160.15883885453692 , 0.004563541332583748 , 0.011356995004644885 , 4.1731871299186945e-05 , 1.274339328997669e-05 , 2.5827249562170224e-05 , 4.884065927879969e-06
not deconvolved , 2.7395374371062515 , -0.7662689338450864 , 14.343524164443451 , 0.001566437884770799 , 0.0027880132072519654 , 1.3365243831288747e-05 , 2.7029719915522485e-06 , 1.6456659124198583e-05 , 1.748797888601879e-06
deconvolved , 2.7395312045990448 , -0.7662702109211104 , 78.50385260858208 , 0.0026583937105190665 , 0.0026546325895847093 , 4.1477724355879344e-05 , 6.799846511513803e-06 , 0.00010522168156079683 , 1.1084296823614767e-05
not deconvolved , 2.7395259455495093 , -0.7662683079387294 , 7.4743426701773865 , 0.0010648893724337393 , 0.0026851182206894275 , 1.7800932603249437e-05 , 3.397896171716953e-06 , 2.512602322750686e-05 , 2.3328247325004947e-06
not deconvolved , 2.739531486774014 , -0.7662672189422906 , 145.99110093846613 , 0.003196940677385832 , 0.0033970745582626674 , 9.719048114229777e-06 , 2.9191886845225473e-06 , 1.1121552694296082e-05 , 1.8397550043023622e-06
not deconvolved , 2.739521019798606 , -0.7662690724232174 , 45.680970116985335 , 0.0010994384651131027 , 0.0010873688275911154 , 2.2173724305680248e-05 , 2.0161572994901658e-06 , 2.401156879702424e-05 , 1.2134270754893129e-06
Fit could not converge,0,0,0,0,0,0,0,0,0
not deconvolved , 2.7395263478824 , -0.7662707696810734 , 118.61373693772435 , 0.001431874282990475 , 0.0012712967578715653 , 2.07785959719081e-05 , 2.342892588137758e-06 , 2.150581213379433e-05 , 1.3810332837107849e-06
deconvolved , 2.7395251714300892 , -0.7662694997248708 , 36.84106051979314 , 0.007245226231134897 , 0.009487800544616714 , 0.00029301377060221844 , 3.1093344311354725e-05 , 5.523536014094524e-05 , 5.155593671455519e-06
