deconvolved_not deconvolved, m0_value,m1_value,posangle_value,longitude_error,latidude_error,flux_value,flux_error,peak_value,peak_error
deconvolved , 2.7395753130085048 , -0.7662606463994321 , 124.35435982091316 , 0.0022756943776009054 , 0.0020582035757323648 , 0.0001391758640012848 , 1.424071210445257e-05 , 0.00018370044530250214 , 1.3043906344119517e-05
deconvolved , 2.7395678748186696 , -0.7662547470952077 , 168.03938237422955 , 0.0008354744327988699 , 0.001625581801298724 , 0.00011536911852885108 , 6.727906930204404e-06 , 0.00016767575811479506 , 6.695250679261065e-06
deconvolved , 2.739529297209274 , -0.7662672511808902 , 11.111246532797454 , 0.0022484292926735665 , 0.005278480331168529 , 0.00028327176823639754 , 2.7841554766831872e-05 , 0.00010810234524094368 , 8.564372193136255e-06
deconvolved , 2.739528620876474 , -0.7662672960957513 , 2.5801447231982 , 0.0023398065711403866 , 0.0041291510216859 , 0.00017038386771690928 , 1.649055774724768e-05 , 6.756730253536864e-05 , 5.225898039241364e-06
deconvolved , 2.7395656796841754 , -0.7662931976471549 , 119.74824146013249 , 0.0009335688874952814 , 0.000997174971622138 , 0.00015268856680712603 , 1.0900866579678698e-05 , 0.0020035669015414028 , 8.584564623221108e-05
deconvolved , 2.739528450909596 , -0.7662925675351866 , 71.8557105670726 , 0.0009797509023680095 , 0.0007812341616566359 , 0.0018972949256357903 , 7.417578913550567e-05 , 0.0018099147330751198 , 5.0596131623457245e-05
deconvolved , 2.739520861425415 , -0.7662932348029174 , 13.601212138154125 , 0.0025708790310854336 , 0.004539253321256839 , 0.00010982487843219651 , 2.0848218350210113e-05 , 0.0002313651332541526 , 2.8878371419438032e-05
not deconvolved , 2.73957507516105 , -0.7662603601741156 , 176.4641983756025 , 0.0037577910173193846 , 0.0067066464897890905 , 7.29722427400297e-05 , 2.663460121508342e-05 , 6.247389030303184e-05 , 1.3675771068167949e-05
deconvolved , 2.739531279886624 , -0.7662588907736066 , 44.16113569777346 , 0.001264056615132372 , 0.0014339762603253522 , 8.395543784978746e-05 , 7.140373491565873e-06 , 0.0003296284068529315 , 1.7571932186192236e-05
not deconvolved , 2.7395329946870115 , -0.7662689529020135 , 176.2382790921825 , 0.0007053697039295009 , 0.0013412761893703835 , 5.751668127338095e-05 , 3.790214876856415e-06 , 4.507497876271749e-05 , 1.8279577426111022e-06
not deconvolved , 2.739530365560913 , -0.7662646376590859 , 2.5910142288349225 , 0.0007631973484846656 , 0.0022329260611315092 , 4.451669091973583e-05 , 3.9069336802885265e-06 , 3.362728968960701e-05 , 1.794415079382636e-06
not deconvolved , 2.7395326967541687 , -0.7662665845759334 , 160.15883885453692 , 0.004563541332583748 , 0.011356995004644885 , 4.1731871299186945e-05 , 1.274339328997669e-05 , 2.5827249562170224e-05 , 4.884065927879969e-06
deconvolved , 2.7395374455866035 , -0.7662701722933806 , 178.27700545192212 , 0.0007192581570345132 , 0.0010087299108246684 , 0.00010752966725034385 , 6.53255535595256e-06 , 0.0006876077490470515 , 2.5370453825303383e-05
